Week,Geo,Brand,Sales_Value,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Trade_Spend,Net_Price,log_sales_val,price_index,TV_Spend,YouTube_Spend,Facebook_Spend,Instagram_Spend,Total_Spend,naive_roi,TV_Spend_Lag1,YouTube_Spend_Lag1,Facebook_Spend_Lag1,Instagram_Spend_Lag1
2022-07-02,CENTRAL,BrandA,34054.264402337736,993648.3586429488,427878.4626628305,217002.39832164336,107275.93236473044,13484.10400109702,95.4419621592596,10.435739907625244,1.0142191772763147,59618.901518576924,106969.61566570762,23870.26381538077,19309.66782565148,223252.55282641383,0.15253695409549697,0.0,0.0,0.0,0.0
2022-07-02,CENTRAL,BrandB,43537.09566237012,739977.0463928923,313262.00790248415,164117.73938440467,77674.7253192803,13484.10400109702,78.9791086901733,10.681391596174006,1.0085113589711672,44398.62278357353,78315.50197562104,18052.951332284512,13981.450557470454,168232.63065004657,0.25879102938523346,0.0,0.0,0.0,0.0
2022-07-02,CENTRAL,BrandC,15606.889434543878,437648.84086681384,197861.0484366737,98833.25862814444,49455.535550149194,13484.10400109702,62.023054938527366,9.655531798381386,1.009718260022416,26258.93045200883,49465.26210916843,10871.658449095888,8901.996399026855,108981.95141039703,0.14320618444084637,0.0,0.0,0.0,0.0
2022-07-02,EAST,BrandA,53794.394906252644,1232719.3901165442,379889.17860204075,237697.38380182593,99747.57410059076,12571.966318912224,95.16222936006837,10.892943145948228,1.0216779440721568,73963.16340699265,94972.29465051019,26146.712218200853,17954.563338106338,225608.69993272226,0.23844113689789437,0.0,0.0,0.0,0.0
2022-07-02,EAST,BrandB,39371.34102757107,1216878.352985445,329374.53740281006,262232.2241013111,92098.12989069312,12571.966318912224,75.87999638069057,10.580818844389205,1.0163793564206889,73012.7011791267,82343.63435070252,28845.544651144228,16577.66338032476,213351.50988021042,0.1845374380030973,0.0,0.0,0.0,0.0
2022-07-02,EAST,BrandC,40063.9295984495,608070.8047219241,186275.8882680827,135782.03410491307,50833.381064107845,12571.966318912224,65.33021775876237,10.598256657027287,1.0075480524149119,36484.24828331545,46568.97206702067,14936.023751540437,9150.008591539412,119711.2190123282,0.3346714696305025,0.0,0.0,0.0,0.0
2022-07-02,METRO_DELHI,BrandA,26761.134520664553,999004.7485163158,339841.21119940723,368987.38543481263,104866.98078336271,15651.275305871197,101.32738849430048,10.194743276407287,1.0050110983865146,59940.284910978946,84960.30279985181,40588.61239782938,18876.056541005288,220016.53195553663,0.12163238045198851,0.0,0.0,0.0,0.0
2022-07-02,METRO_DELHI,BrandB,23215.640718732488,668670.7195700881,231140.62982238428,342962.5884706851,80524.38481154537,15651.275305871197,78.98280941411215,10.052624572896683,1.0246883171193744,40120.24317420529,57785.15745559607,37725.88473177537,14494.389266078168,165776.94993352605,0.140041427519939,0.0,0.0,0.0,0.0
2022-07-02,METRO_DELHI,BrandC,27840.304319600746,304826.4002013044,100708.03686178556,127981.69384251889,31577.470719850822,15651.275305871197,58.60611332139549,10.234275963911275,1.002183532486311,18289.584012078263,25177.00921544639,14077.986322677078,5683.944729573148,78879.79958564608,0.3529459312205702,0.0,0.0,0.0,0.0
2022-07-02,METRO_MUMBAI,BrandA,46353.1906795186,577151.7764201477,335209.0545288633,250333.91962754467,92075.20286852712,12260.609472217597,97.33061167265807,10.744066980704517,1.0084625400492404,34629.106585208865,83802.26363221582,27536.731159029914,16573.536516334883,174802.2473650071,0.2651750270833913,0.0,0.0,0.0,0.0
2022-07-02,METRO_MUMBAI,BrandB,34774.60016823931,660996.9510496932,377229.2290536404,264558.1181312199,101901.65762385009,12260.609472217597,76.6406165446629,10.456671275254918,1.0230131051894273,39659.81706298159,94307.3072634101,29101.392994434187,18342.298372293015,193671.42516533646,0.17955462525446295,0.0,0.0,0.0,0.0
2022-07-02,METRO_MUMBAI,BrandC,14833.340061123285,278078.7069962146,171058.46473036148,136023.03023936614,47813.99597000891,12260.609472217597,61.18885898714901,9.604700046472416,1.0206163875374685,16684.722419772876,42764.61618259037,14962.533326330275,8606.519274601604,95279.00067551271,0.15568320359997082,0.0,0.0,0.0,0.0
2022-07-02,NORTH,BrandA,78398.0585824604,1071970.7076770146,662272.3518862571,564386.3541006065,188893.1057873121,18166.881401129685,100.78863651104204,11.269567198389623,1.0190242453492528,64318.24246062088,165568.08797156427,62082.498951066715,34000.75904171618,344136.4698260977,0.22781095715269423,0.0,0.0,0.0,0.0
2022-07-02,NORTH,BrandB,59405.119243117835,909498.6135225912,628117.8378515375,512321.1683678864,176855.68440709615,18166.881401129685,83.08431979581306,10.992152517605698,1.016875148391442,54569.91681135547,157029.45946288438,56355.3285204675,31834.02319327731,317955.60938911437,0.18683463190684257,0.0,0.0,0.0,0.0
2022-07-02,NORTH,BrandC,36552.17123219766,486866.556373552,295708.3325511058,221772.12280585768,81318.87879080694,18166.881401129685,59.993777471145926,10.506523225632941,1.0113896270119964,29211.99338241312,73927.08313777646,24394.933508644346,14637.398182345249,160338.28961230884,0.22796907289176704,0.0,0.0,0.0,0.0
